Ticker,UFPI,AMWD,IPX,EU,USGO,USAU,NB,ABAT,HYMC,ORLY,MAR,DASH,CTAS,SBUX,TSLA,NFLX,COST,AMZN,BKNG,COKE,CPB,SFM,PPC,KDP,KHC,MNST,MDLZ,PEP,APA,VNOM,WWD,PAA,CHRD,EXEEZ,EXEEW,EXE,FANG,EXEEL,LPLA,FITB,FCNCA,HBANM,HBANL,NDAQ,COIN,ABNB,CME,HOOD,IDXX,DXCM,ALNY,GEHC,NTRA,VRTX,GILD,AMGN,ISRG,REGN,FOXA,FWONK,ODFL,BKR,FWONA,ROP,CSX,HON,LIN,AXON,APPS,MVST,BYRN,CTLP,EOSE,FLNC,ENVX,NOVT,IDCC,RUN,AGNCL,GLPI,LINE,AGNCP,REG,AGNCO,SBAC,AGNCN,EQIX,AGNCM,QCOM,ADBE,PLTR,AVGO,META,GOOGL,GOOG,MSFT,NVDA,AAPL,LBRDA,LBRDK,FYBR,ROKU,FFIV,CMCSA,CHTR,CSCO,TMUS,WBD,NWE,CEG,AEP,EXC,XEL,LNT,EVRG,TLN,CWST,OTTR
UFPI,1.0,0.5203336218777408,0.0005156795522686074,0.050323290598251864,0.03142852997501394,0.051618454270212326,0.019300833822242097,0.03030496710527175,0.07622015003268996,0.07973530282666565,0.18239856279447886,0.06501712696174003,0.11674267499193208,0.05011055260959959,0.051513252318016144,0.028935781576297486,0.040546409147757936,0.0692961668150638,0.11013092605541581,0.06150110930131652,0.001227134893052235,0.1067493996763433,0.029653156145527527,0.014644485855273656,0.02988813512038387,0.038848360291649946,0.02157035983163468,0.012259018421699611,0.07143356559691158,0.05027732505393051,0.12793233361871384,0.12399059292939091,0.12014548566592806,0.0004889544551241264,0.008044401618465053,0.1083792666371596,0.08262730526443797,0.00867729458589798,0.07117501133382705,0.338613946730741,0.07331016924970196,0.07566151350111018,0.08823217782405102,0.14657738759476135,0.11333516758777176,0.10471616886798171,0.004107510699557841,0.177485090527489,0.20085764551698088,0.013153760774822039,0.019507902063248414,0.13511031066997356,0.02540689045339442,0.06298775406446963,0.06693937859862466,0.12083672339438233,0.06470594839048122,0.10592084719216104,0.09441822474405023,0.08811154567511743,0.25584932384791303,0.13739739840851045,0.09624747185778122,0.09890228406686155,0.22727622194756428,0.1573211839395274,0.10592970739742816,0.08377536437523955,0.1508991210273871,0.05380133862958433,0.02135125558659528,0.1710094125041846,0.031378394689432376,0.1814084395408802,0.17303462246003493,0.3799461203320998,0.16515654575387123,0.20785941880457565,0.041710438096662805,0.1773409464253378,,0.0074629780686901155,0.10827316353883679,0.004950708159175861,0.10480699374964836,0.026464455877190155,0.0901471361999325,0.002007042465458866,0.11468330776162007,0.041821351289049805,0.07852871555664362,0.12680109128689923,0.029446238192937596,0.01802225889129412,0.015513207654352962,0.06856253332320325,0.018447826980665542,0.04126897730158702,0.11093687356321409,0.11247630672701989,0.14373014231844977,0.13870334371430235,0.28289226103680853,0.12023174688037445,0.06807299450227361,0.109450028183713,0.0007497964212482191,0.12424646341109487,0.20348415693068195,0.0711039386691948,0.02223129221653402,0.047729427567273205,0.03743716246146398,0.09090761707606344,0.047301705585842235,0.07633089115431249,0.1697998430349302,0.2891912005393744
AMWD,0.5203336218777408,1.0,0.012345066825410802,0.07540993210090369,0.007440750823942509,0.008309842901086672,0.0021991291338417716,0.040892130048919444,0.036352701189106,0.0797385266443163,0.1871831698831351,0.08830421200604437,0.16188859072238293,0.028725237295398148,0.10433488053580615,0.051961396250128584,0.05630706172256624,0.11598198294420188,0.11007743607127068,0.057981060610963524,0.0005312356893174291,0.12086285180412493,0.009383201385624537,0.017636815977242946,0.03006016407622093,0.059388975368998995,0.02432240565830618,0.005310081895179866,0.033529030566837814,0.031632807652864595,0.18794802419678938,0.1254780561793065,0.05102571903929358,7.63609208672482e-05,0.007678239163223971,0.04806064960959447,0.05869249576238266,8.498749986107807e-05,0.09938489936562986,0.18020081388594678,0.0862766275101263,0.039354575950712116,0.04222406114689564,0.14527185820328561,0.09215816856843077,0.12385282585419347,0.0026213547799207844,0.07378164630151278,0.16432007825837586,0.01283829932868773,0.03465975340879203,0.14682820567891822,0.04344689285175554,0.11515064563906414,0.03114890233510857,0.08084637122490314,0.05828040548241662,0.10230624149809477,0.043320879621306915,0.07717267811911298,0.1941561734515821,0.07133858895210116,0.07971861482429228,0.11329834819626511,0.1550296017074287,0.12288183702864668,0.12310409722667308,0.08831309727430565,0.11035248902169607,0.04847741905907704,0.015165166647642237,0.15268290865578044,0.02980774559822475,0.08842187815153835,0.09007497224538084,0.3212129733588377,0.11448496759501432,0.10059716142512945,0.03157867169599838,0.10826122339177585,,0.018457470864474,0.06938470438513343,0.0058730933897945216,0.026337037882975162,0.006079945406885654,0.05443225515355189,0.0030806364181512774,0.10482738761965489,0.07448165423199692,0.10643521033568905,0.12486360881761632,0.07507720738792628,0.04361998377703528,0.03930699834303133,0.09696975795296513,0.019581230536194934,0.045632760865360694,0.11482873153335942,0.1109007725003087,0.12327030519081228,0.08658245912785065,0.290407773156295,0.059359200506088346,0.06733639266543083,0.09582068512836477,0.013340881006696812,0.10717492381485365,0.1514727909500024,0.041723806768774886,0.011522187395791575,0.02676558095964459,0.004540991311561048,0.015759540655657992,0.018416943140717703,0.06271091134342072,0.09797226007921192,0.23235999074008157
IPX,0.0005156795522686074,0.012345066825410802,1.0,0.006559702201497359,0.0017834768120206861,0.007859248658435278,0.004069936787043585,0.0024579691744590106,0.0003309197106305832,0.0007730733147199602,0.010162942874326468,0.010745625298313034,0.007109345682744673,0.0052071797109834285,0.01625382233354476,0.012946181058067396,0.0016761987218303464,0.01248890853281888,0.00458196341083149,0.0008332365535087583,0.012052819821811748,0.0016987826731041055,2.099172459432006e-05,0.002136546260076233,0.002130987722433136,0.006719356863904571,0.0012680712258934866,0.000542528938614973,0.012493901231115505,0.0042215038465607075,0.017332058658479026,0.0007368807439647917,0.012324870590302621,0.011044345363220121,0.010899989345036576,0.023805544027820143,0.029731812818514957,0.008069479520209373,0.009882208804784427,0.010116191400672766,0.0227357111443447,0.0014210455422886366,0.006547703362578645,0.0008495625651183339,0.008811716717385471,0.007379433965430706,0.0031537404207773365,0.002678315182471328,0.0010840585123734787,0.007602865670670069,0.000552195913875855,0.0008269262605052677,0.01648660981894371,0.007481698802048825,0.00012411755115541743,0.0009596125100907305,0.0051203812482989285,0.0001656830138243598,0.0024104600287668055,0.007568245782894202,0.0030036787037981383,0.02117567350637124,0.005851491193713421,0.00850015517527857,0.014931000886203732,0.013036701001966907,0.005741955464839275,0.019064627203221336,0.00019481002452858236,5.610760275452234e-05,6.054816290683168e-05,0.021090208086913843,0.014766527792355209,0.008369195640964456,0.006056795191315558,0.008415387816537414,0.001033379906023562,0.0008440857252075007,9.330530082898766e-07,8.410496131321875e-05,,0.002298647516242094,0.0008420545719740935,0.00011167281933693338,0.00032869864413112777,0.0025959870508318232,0.0017526239467265956,0.0006839908594389687,0.010779750875261545,0.002065566696359309,0.0005190982494021706,0.0073939208489113345,0.0024484953024179715,0.010115525192876765,0.006650472770362889,0.0011065438612475281,0.0024585760454881203,0.014237834665697353,0.00030974009764123497,0.00032752877692696476,8.549302760930112e-05,0.02039554539237243,0.015089560330918588,0.0004154879588429202,0.002063030375194317,0.012087592026202252,0.006884976587916997,0.013929401272780088,0.0030857280871940743,2.3773927935692878e-06,0.00010308704537187478,0.00048394695254160204,0.00027696620930897485,9.823996803968606e-05,0.0007474494339783603,3.4150914463974376e-05,0.00018192329820630496,0.00018829523068511755
EU,0.050323290598251864,0.07540993210090369,0.006559702201497359,1.0,0.01025432267112181,0.08452499108292931,0.0035119511773397914,0.005772980367063,0.06450089814373805,0.00024447393571275835,0.06482183571716059,0.07237220467201916,0.07658715687432424,0.039441805759636586,0.03766948877232874,0.0702140316661581,0.05712135795065458,0.10387811415542053,0.03280195861173982,0.004081077849011259,0.017184558749366384,0.03292915969798249,0.012041447818942131,0.00038636819657040356,0.00893005278374584,4.754973045822298e-05,0.00044155448878893704,0.014548906054694713,0.0018741494489549362,0.02742292959170564,0.08486120399230401,0.04024544882793592,0.033602124131672545,0.005391424182321831,5.77271292794765e-08,0.03225781121678888,0.015473484189079663,0.0015938737214494403,0.03936222939998744,0.020479925824394177,0.01488667822095921,0.015900294097619595,0.01444176613177696,0.031002818954634085,0.046422425909025775,0.0457495757815931,0.005423591335387928,0.022688018878869107,0.004250948275607144,0.00875282815682426,0.013071406241820502,0.06729456597518857,0.06311702455514347,0.0019808054145216193,0.00027120098101451016,0.014830751804382047,0.06637936785609756,0.03671698232274488,0.003684123315596914,0.020002398539717275,0.03747224650502747,0.008816544229376338,0.014644020059227053,0.02135234246088411,0.027882765821956472,0.03129981750933499,0.04919342553453889,0.036753057886726594,0.008025766647200571,0.001069574555998307,0.019319626582980184,0.018809044416414764,0.020715141441536453,0.05048230939373596,0.06989697468209484,0.060022104650738116,0.03672586569357204,0.018381347845130704,0.0490726589944114,0.039389222936004734,,0.007248089993942719,0.000810458510976982,0.019210213406526063,0.00010582377261776956,0.0003438817121408395,0.025286529587933395,0.023737720086161773,0.0863893234201288,0.03144592880153907,0.0176706222667947,0.10563757365964864,0.055007696690951007,0.06675256145570542,0.07016403610292128,0.08128838118564592,0.12007861879832465,0.0352380012459825,0.002908002138063963,0.003831353221004048,0.03901027807857311,0.03356095005717685,0.07200158818107538,0.003289719302122349,2.297572532598186e-05,0.00953665224272985,0.005123779126900221,0.00488494970418596,0.02606547992323803,0.06553647868223772,0.004556737591114065,0.02304463872500433,0.0034653128165034134,0.006945121174376616,0.006040222236863327,0.052991408678602546,0.03599276172822979,0.019892595934153875
USGO,0.03142852997501394,0.007440750823942509,0.0017834768120206861,0.01025432267112181,1.0,0.03898779586123505,0.006134067967349989,0.007339735461546533,0.04900478224649836,0.0012253137340678805,0.0012164550149193671,0.004740790786379516,0.004087344124461541,0.01483166702217147,0.0010473103546346347,0.0023374692186393774,0.0004203684519762113,0.0019018429343355965,0.0002649404609559254,0.006819640087160154,0.0009275853953256009,0.005106260215824928,0.0007127414338054904,0.00718509815861283,0.016300081115700683,6.670548714227527e-05,0.0012831035495806417,0.002625101812851641,0.015322318684966627,0.01603962856414177,0.00793916435603317,0.016840041332790184,0.04578884661016621,0.0052290068796073735,0.0062473180425521545,0.006084479201455635,0.01901836836872696,0.0026532429635501087,0.0024816735337872707,0.008007298508033224,0.004748027309749562,0.006256703557608707,0.0005153306990489171,0.0003064625312300459,0.028774788145272453,0.005050630881873093,0.001187819085876975,0.006139219512698703,0.00031972292151393735,0.016020204329062728,0.00016402656459874756,0.005880179639030012,0.004393354033118463,0.0002124857721031317,1.4361201289524286e-05,0.0009573903035308567,0.00012033758801550938,0.006701306425779284,0.00011189275200704304,0.0009763678451956018,0.00966397928765337,0.009162896781842646,0.0008427675163258337,0.0015077249687578335,0.04624095603564133,9.115274092971062e-05,1.3884338160150193e-06,0.0008911573272484465,0.001596251871471029,0.0029981243975874742,0.0007697875849160494,0.004849051330651485,0.008542934402176528,0.006973127435025211,0.007980715533447537,0.000671415475201954,0.0026834104691397472,0.01784102662332374,0.002282684250169159,0.0039005243839491735,,0.0001777098572742354,0.00639217686127347,0.0005504465244132893,0.004467166574884975,0.0004310867904342168,0.006084011838138923,0.00041229802982931276,0.009630885453681988,0.00012801462590969554,0.004703546083422974,0.0056885272316288,0.011156559153180114,0.0009048635327414383,0.00038844264638550086,7.271854530300366e-05,0.0007845679856195634,0.00019345837740355936,0.00041290519226123534,0.0005803294044487302,0.000264717102158295,0.0002320936387471826,0.002487120345546106,1.9608057487113125e-05,0.0054652882901324255,0.003802729100825861,0.0009072073664106085,0.0042399699319030145,0.00022124202870678567,0.014766804403361526,0.00010418317492575966,0.0018476703816391136,0.006440534660131399,0.004859417573908173,0.00243454210041987,0.012267080083159285,0.003946469364546226,0.0033661919130623477
USAU,0.051618454270212326,0.008309842901086672,0.007859248658435278,0.08452499108292931,0.03898779586123505,1.0,0.006086174178710215,0.0105022618407707,0.15662820731373095,0.000837819904043981,0.020351609738976425,0.029248282228179455,0.011559954982342975,0.021052289643518296,0.017711456486943746,0.0473121604529082,0.04109694009195801,0.025284627403349934,0.011129892453263629,0.004105502703350826,0.003290795892497528,0.03371896895106583,0.00037439656514133996,0.0011654760223616671,0.006540032698049272,0.000520985606387825,0.009261109208656162,0.0003291635931968271,0.015745120406627396,0.007638276022673333,0.05230570528362322,0.028988596500860452,0.027669786816386103,0.0009375368061430671,0.0012909253005415464,0.028721291795867805,0.023916764435960497,0.00024530004591334143,0.001468088917627529,0.03668263483842591,0.005963520419376982,0.011690635177485241,0.0017306148927868049,0.01606408054630534,0.07638308077512854,0.018509592275426617,0.004216689876730966,0.05415487662781445,0.0262611438671094,0.00786206376637382,0.0007244526828280579,0.03065074575061833,0.024988460105158036,0.006778931687650206,0.003969538983868007,0.024582826516276194,0.04191201241506615,0.02218657404255838,0.014126993025436352,0.009012278310199483,0.004701382299355345,0.019954712082425437,0.014348200596020932,0.0377372163202118,0.016414391712755785,0.0278757216900479,0.05176193111273107,0.028077087489210926,0.04298691097726592,0.009089685593392936,0.0441459796595268,0.016828866398968516,0.010507380492204031,0.04742527934242178,0.09969144234356483,0.05578169739667858,0.03786303563265378,0.06220200249975715,0.0179182133853676,0.06053368126384985,,0.01418336699361355,0.0345324844805876,0.014847768398562795,0.030988191875145617,0.0004183037449679799,0.0558754772787896,0.0022798031979050968,0.04417615375962637,0.008457589615416341,0.019500138406512914,0.03895672303987394,0.02146042463972786,0.04454607218139705,0.038996001203205455,0.03268599919812701,0.007689783363599845,0.03638840942764938,0.004230693483324998,0.004548923031614097,0.021671987380713117,0.04568054462931578,0.08244135910114325,0.00949959383306535,0.009752361646474904,0.04731912659201458,0.010841967832061773,0.01764956948341747,0.03441854662891782,0.03815691843871005,0.01354557630091554,0.022935276786678796,0.016019839078841382,0.02835064597674745,0.026813301550122876,0.02255102253312403,0.021788227730296934,0.011161331506366327
NB,0.019300833822242097,0.0021991291338417716,0.004069936787043585,0.0035119511773397914,0.006134067967349989,0.006086174178710215,1.0,0.008071095058766763,0.011748465775391705,0.00469632942366413,0.010500894664704441,0.003541614331121997,0.006082866296666344,0.009823260853913973,0.018575793659936182,0.010909506888244491,0.0005117447169215362,0.017796687512645983,0.01191364329971235,0.0004106310043258472,0.0026742081161477394,0.0030743498766738825,0.0001514704381409493,0.007570016424408987,0.01293119998597788,0.016460309814124087,0.001427418928708257,0.006940821259478324,0.0010315501510286436,0.015216501553785669,0.012861670220161877,0.0037712760260356186,0.011402286639821034,0.000430356645972891,0.00026866881950702383,0.02143531636145283,0.006940117185272295,1.7372517255071704e-05,0.00012698006143042233,0.03440235591070895,0.011824369725756637,0.001020209606937665,0.0010732460932564314,0.0030084220785408567,0.0484274763601017,0.010999254083359637,0.014722407333211715,0.03636207278925128,0.012827272516025978,0.03322766824586757,0.003398608899628947,8.638314489606534e-05,0.006863971298666866,0.0007258123264795206,1.190203190407361e-07,0.015449138835079092,0.00910020173556393,0.00534551567726591,0.009727402632945945,1.022864158601338e-06,0.007258787916698626,0.002761000156686721,0.0018454825307647072,0.0007029218888641706,0.022513961070997818,0.009274493132153535,0.002633580841330675,0.0034632624914343103,0.015649295594237046,0.006300701804425351,8.392987672388196e-05,0.005801082406406288,0.006289021466156304,0.07107143794190593,0.019485913342097507,0.022065122360445,0.017838828563255284,0.017788993171781103,0.0015418769990018278,0.04271132188051475,,0.0008540472014470189,0.028814338850057283,0.0023591090915755053,0.04899284716674377,0.0010386093526185032,0.031546458849997724,0.002077892965558436,0.01641517392676984,0.0032470863607436343,0.026273131114336965,0.0028095526258601175,0.00690338228665604,0.012164186374663478,0.007945345375995965,0.006065850050065584,0.003302996134174812,0.012051754072321688,0.0002561810276004823,9.151168991061139e-05,0.02218678545657387,0.025734892361922557,0.012577807218496127,0.008850462810671894,0.0015107704555724763,0.011638297231634122,0.0007717409716210284,0.013161753058771278,0.03076480736494336,0.0009495320342370261,0.015837002390902473,0.017141641032047357,0.018391343299252596,0.029665316123181996,0.011792553850622601,0.0006738990433232818,0.04509604700000372,0.004289623777982465
ABAT,0.03030496710527175,0.040892130048919444,0.0024579691744590106,0.005772980367063,0.007339735461546533,0.0105022618407707,0.008071095058766763,1.0,0.00690400900665928,3.984020472541921e-08,0.024792352380230306,0.02419949461172741,0.005160944119513369,0.04047932981536414,0.0051735562133894885,0.008241286567375475,0.0029328497770733796,0.02238574957641336,0.01280840715508104,0.00025323233348746474,0.0007207462446900075,0.013155427057347449,0.0009920541598102165,1.4377154730575193e-05,0.0023024047566502803,0.007389262448259923,0.00032191346654886964,8.391775454466987e-05,1.3676417890237096e-05,0.00024748747623413455,0.024328672576128987,1.376921839211262e-05,0.0006026599576922802,4.199124028605382e-05,0.0036853143627913576,4.4821833273430714e-05,0.0010082445767869294,0.003963270273182345,0.00484189884679096,0.018751888087353834,0.002084593202078825,0.005726179873554509,5.6969624952936626e-05,0.010685542762345174,0.006258140771492142,0.01965012580022683,0.00035851536106856416,0.010729197524607399,0.018729106589471557,0.011725517618588156,0.01826642276055345,0.03808347302670497,0.0015930021959136807,0.018911433783530128,0.001930150322894099,0.009514595955577618,0.03877547449863555,0.017732744479072554,0.00030324952174069374,0.01005425847835044,0.047151164812352576,0.003077883054936676,0.0131881564896982,0.028948313182608452,0.029346677858549584,0.01580509293229961,0.010258939486020103,0.008192431674389794,0.04399193793512026,0.036157683656391146,0.021315856380674656,0.0009454880869557347,0.00659067500425553,0.01805023694855409,0.021590284332719728,0.03912625560362363,0.04363744923890125,0.030197602178498737,0.0009531203277082626,0.01185846961424214,,0.0007520996959015291,0.00014897293754292042,0.010182958292478823,0.007146418784017833,0.0032027353601990797,0.025084836171944513,0.006032380761493853,0.03485702238775515,0.01811764359895489,0.007448832212086739,0.04376800045882364,0.010366494355466981,0.008542234757327911,0.0093124678833717,0.02276617913331229,0.0009888836886485033,0.034430366493325586,0.008188610166578155,0.007530103919741295,0.017944986114076276,0.015552842666477266,0.06503174985315882,0.004483508797242689,0.0036410509131336393,0.014691169445406896,4.0374380427528675e-05,0.0092596940875016,0.004035780393167711,2.3299243276645453e-05,0.0012716551230252328,0.0042642602649546136,0.0007053034102273701,0.001453933786685902,0.0003202813434197446,0.0005540505118743648,0.011235372195344106,0.006000246120075315
HYMC,0.07622015003268996,0.036352701189106,0.0003309197106305832,0.06450089814373805,0.04900478224649836,0.15662820731373095,0.011748465775391705,0.00690400900665928,1.0,0.0003070885352612537,0.024236800232803172,0.04640393118847254,0.01783102972602555,0.007002711446141569,0.043133034654900086,0.08376419492734362,0.014649642618547535,0.053401709837927296,0.0143714331370958,0.0009897115695266545,0.00010598272643749538,0.009136659292226885,0.0032925282894337173,0.0011329011782127548,0.004780221286589834,0.0002788830259867312,0.0012126834430801563,0.0025412692647005315,0.021181688657630333,0.011547483949142043,0.04865013648824609,0.04786521448216098,0.048952410887877294,0.000615989405029618,0.0031469007185157666,0.04674447249557013,0.034798613707891723,0.009170205168285112,0.010096164017049032,0.017528000940339617,0.00438882933402384,0.0016446222691571804,0.002428106698342638,0.01743897709304957,0.05405016259573257,0.03943146046040166,0.00033192003903340333,0.0799214556591345,0.07707639376092475,0.03127450116335584,0.02832120251554054,0.038729015203021,0.01161895878056385,0.0012814912097748846,0.0075827897240102,0.013862161412858886,0.02867128915411818,0.012898801968954366,0.03154632054803208,0.01993905933529726,0.013323809416181498,0.033328322854651315,0.03270992543893169,0.00974154762237581,0.00933764993674385,0.03596633641444426,0.029271821529730235,0.06030509677659742,0.06073381207242728,0.02318609193126095,0.06000887402653072,0.04311696811964036,0.02941683343211022,0.08681024121679921,0.07997995015467266,0.06062422859592673,0.006815733485268916,0.10374959182238362,0.026112045900569904,0.02150847812530974,,0.0028004597008694904,0.013138992504559016,0.010992200950893644,0.02597191144515585,0.0024979613007667465,0.012581030693132184,0.005805750364021952,0.06603031454659523,0.022273102111017858,0.022126061910467988,0.041067330635395166,0.0230954013090979,0.023446929101225356,0.021961274211162455,0.019161520877223257,0.056598478484875564,0.010595528099968068,0.007478518072809147,0.008933844997325977,0.05164459212318826,0.07631672114066183,0.0437664516014168,0.029780188320864952,0.014749248591767784,0.014975941003328901,0.0008074160376887313,0.06884458246697224,0.03729412294924248,0.01698791344701771,0.0026308821943737395,0.014423038354815924,0.02627661427985112,0.012204850751454057,0.01867674352626607,0.00798768101747346,0.09591717589542255,0.03449392668248625
ORLY,0.07973530282666565,0.0797385266443163,0.0007730733147199602,0.00024447393571275835,0.0012253137340678805,0.000837819904043981,0.00469632942366413,3.984020472541921e-08,0.0003070885352612537,1.0,0.0526662788555293,0.023449242392380446,0.1666117812219403,0.02184625588646483,0.000715203615961887,0.025911207694941603,0.0613390546336597,0.04225452904910727,0.0666328791021347,0.025397344339494355,0.00550720263147603,0.039376549562909965,0.016661786788725708,0.02005478923125632,0.02472273976093501,0.053558475237112366,0.034016617168615024,0.08232321514301509,0.0016784683093470836,0.009786131384526359,0.01742266612708434,0.026305814641807448,0.00020116333128738053,0.0025834371079384655,0.004141258599050159,0.00016941869885143376,0.0038731624127820736,0.0010375573336768003,0.026665900050298064,0.023082402199513734,0.029102799951714407,0.014690035262124444,0.02323645736355672,0.08632153170056614,0.010208903726079339,0.021121196302946548,0.042856464895148626,0.018346085112966454,0.04128565287751183,0.011590198907839435,0.0006284608750422896,0.030928770677602014,0.0024419600968835554,0.038196283114219305,0.020522247228612314,0.03222458454222613,0.049877829728761564,0.048830360328972915,0.03485347017132531,0.0033154005112888633,0.0566907871913469,0.007305386129454625,0.0036708376236730704,0.09569190665942892,0.0850494819913962,0.06870487829529018,0.11624157291120053,0.041270607470591636,0.0004363615128905717,0.007604767863269749,0.0029812762564373004,0.013789184211042636,0.003623126539529608,0.002584333896656736,0.002580154615843662,0.03892963361369015,0.02694870254294627,0.0033274908158681124,0.0014199027764799004,0.025466260581943935,,0.0013520439267047562,0.03586693778550139,0.00223215329357714,0.0004067983511811175,0.004997697528552538,0.026224513830841834,0.0027571719965026518,0.0022354739196623094,0.02922589164262843,0.05483658355427581,0.01414147730813064,0.031047247280582925,0.027128648183807468,0.030484790591802306,0.06681693480884,0.0029516416588545387,0.007636706544112099,0.020335491355846953,0.018258892689392042,0.0001464061418709004,0.0036589587300010036,0.061069164516094794,0.007325810585123843,0.024913608181860326,0.044256522917326534,0.03133061830915259,0.0009359864615859567,0.016304874542135573,0.007812905222449503,0.0025229394029432787,0.003754785749135439,0.013233576986491946,0.02454169287794533,0.02597253280325545,0.0018765697987150635,0.0369435278804448,0.015341707461460925
